Module                  Size  Used by
ctr                    12288  2
ccm                    20480  6
xt_CHECKSUM            12288  1
xt_MASQUERADE          16384  3
xt_conntrack           12288  1
ipt_REJECT             12288  2
nf_reject_ipv4         16384  1 ipt_REJECT
xt_tcpudp              16384  9
ip6table_mangle        12288  1
ip6table_nat           12288  1
ip6table_filter        12288  1
ip6_tables             36864  3 ip6table_filter,ip6table_nat,ip6table_mangle
iptable_mangle         12288  1
iptable_nat            12288  1
nf_nat                 65536  3 ip6table_nat,iptable_nat,xt_MASQUERADE
nf_conntrack          200704  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
iptable_filter         12288  1
ip_tables              36864  3 iptable_filter,iptable_nat,iptable_mangle
x_tables               69632  13 ip6table_filter,xt_conntrack,iptable_filter,ip6table_nat,xt_tcpudp,xt_CHECKSUM,ip6_tables,ipt_REJECT,ip_tables,iptable_nat,ip6table_mangle,xt_MASQUERADE,iptable_mangle
bridge                438272  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
nls_iso8859_1          12288  1
nls_cp437              16384  1
vfat                   20480  1
fat                   106496  1 vfat
uvcvideo              176128  0
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         40960  1 uvcvideo
videodev              389120  2 videobuf2_v4l2,uvcvideo
videobuf2_common       94208  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
mc                     90112  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
joydev                 24576  0
snd_sof_pci_intel_tgl    12288  0
snd_sof_intel_hda_common   249856  1 snd_sof_pci_intel_tgl
soundwire_intel        81920  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    36864  2 soundwire_intel,snd_sof_intel_hda_common
soundwire_cadence      45056  1 soundwire_intel
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
intel_tcc_cooling      12288  0
rtw88_8821ce           12288  0
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_common
x86_pkg_temp_thermal    16384  0
intel_powerclamp       16384  0
rtw88_8821c            90112  1 rtw88_8821ce
rtw88_pci              40960  1 rtw88_8821ce
snd_sof               425984  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
coretemp               16384  0
hid_multitouch         32768  0
rtw88_core            249856  2 rtw88_pci,rtw88_8821c
snd_sof_utils          16384  1 snd_sof
kvm_intel             417792  0
snd_soc_hdac_hda       28672  1 snd_sof_intel_hda_common
snd_hda_ext_core       36864  4 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_hda_codec_hdmi     94208  1
hid_generic            12288  0
snd_soc_acpi_intel_match    94208  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
