Module                  Size  Used by
msr                    12288  0
algif_hash             12288  0
af_alg                 36864  1 algif_hash
tls                   151552  0
hid_logitech_hidpp     77824  0
hid_logitech_dj        40960  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
xt_CHECKSUM            12288  1
xt_MASQUERADE          16384  3
xt_conntrack           12288  1
ipt_REJECT             12288  2
nf_reject_ipv4         16384  1 ipt_REJECT
xt_tcpudp              16384  9
ip6table_mangle        12288  1
ip6table_nat           12288  1
ip6table_filter        12288  1
ip6_tables             36864  3 ip6table_filter,ip6table_nat,ip6table_mangle
iptable_mangle         12288  1
iptable_nat            12288  1
nf_nat                 65536  3 ip6table_nat,iptable_nat,xt_MASQUERADE
nf_conntrack          200704  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
iptable_filter         12288  1
ip_tables              36864  3 iptable_filter,iptable_nat,iptable_mangle
x_tables               69632  13 ip6table_filter,xt_conntrack,iptable_filter,ip6table_nat,xt_tcpudp,xt_CHECKSUM,ip6_tables,ipt_REJECT,ip_tables,iptable_nat,ip6table_mangle,xt_MASQUERADE,iptable_mangle
bridge                438272  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
nls_iso8859_1          12288  1
nls_cp437              16384  1
vfat                   20480  1
fat                   106496  1 vfat
uvcvideo              176128  0
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         40960  1 uvcvideo
videodev              389120  2 videobuf2_v4l2,uvcvideo
videobuf2_common       94208  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
mc                     90112  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
joydev                 24576  0
snd_sof_pci_intel_tgl    12288  0
snd_sof_intel_hda_common   249856  1 snd_sof_pci_intel_tgl
intel_tcc_cooling      12288  0
soundwire_intel        81920  1 snd_sof_intel_hda_common
x86_pkg_temp_thermal    16384  0
intel_powerclamp       16384  0
snd_sof_intel_hda_mlink    36864  2 soundwire_intel,snd_sof_intel_hda_common
coretemp               16384  0
soundwire_cadence      45056  1 soundwire_intel
hid_multitouch         32768  0
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
hid_generic            12288  0
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
kvm_intel             417792  0
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_common
snd_sof               425984  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
snd_hda_codec_hdmi     94208  1
snd_sof_utils          16384  1 snd_sof
rtw88_8821ce           12288  0
snd_soc_hdac_hda       28672  1 snd_sof_intel_hda_common
kvm                  1355776  1 kvm_intel
rtw88_8821c            90112  1 rtw88_8821ce
snd_hda_ext_core       36864  4 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_soc_acpi_intel_match    94208  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
rtw88_pci              40960  1 rtw88_8821ce
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_common
soundwire_generic_allocation    12288  1 soundwire_intel
snd_hda_codec_realtek   200704  1
spi_pxa2xx_platform    36864  0
rtw88_core            249856  2 rtw88_pci,rtw88_8821c
soundwire_bus         139264  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
dw_dmac                12288  0
irqbypass              12288  1 kvm
i2c_designware_platform    24576  0
snd_hda_codec_generic   114688  1 snd_hda_codec_realtek
dw_dmac_core           49152  1 dw_dmac
i2c_designware_core    40960  1 i2c_designware_platform
snd_soc_core          462848  4 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
iTCO_wdt               16384  0
rapl                   20480  0
8250_dw                24576  0
mac80211             1572864  2 rtw88_pci,rtw88_core
intel_pmc_bxt          16384  1 iTCO_wdt
ccp                   151552  1 i2c_designware_platform
mei_hdcp               28672  0
mei_pxp                16384  0
pmt_telemetry          12288  0
iTCO_vendor_support    12288  1 iTCO_wdt
snd_compress           28672  1 snd_soc_core
pmt_class              16384  1 pmt_telemetry
intel_rapl_msr         20480  0
ac97_bus               12288  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
intel_cstate           20480  0
snd_hda_intel          65536  3
snd_intel_dspcfg       40960  3 snd_hda_intel,snd_sof,snd_sof_intel_hda_common
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
asus_nb_wmi            28672  0
input_leds             12288  0
processor_thermal_device_pci_legacy    12288  0
intel_uncore          258048  0
snd_hda_codec         225280  6 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_sof_intel_hda
asus_wmi               98304  1 asus_nb_wmi
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
cfg80211             1343488  2 rtw88_core,mac80211
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
ledtrig_audio          12288  2 snd_hda_codec_generic,asus_wmi
intel_lpss_pci         24576  2
sparse_keymap          12288  1 asus_wmi
processor_thermal_rfim    28672  1 processor_thermal_device
spi_intel_pci          12288  0
snd_hda_core          151552  9 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda
mei_me                 57344  2
platform_profile       12288  1 asus_wmi
processor_thermal_mbox    12288  2 processor_thermal_rfim,processor_thermal_device
pcspkr                 12288  0
